step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761788986.2059975,0.0,0.0,-0.36558321444502884,-0.0,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
1,1761788986.2129035,0.0,0.0,-0.3623724218402212,-0.0,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
2,1761788986.2211907,0.0,0.0,-0.3912582022046671,-0.0,0.0,0.0,0.1,1.0,-0.0,0.0,-0.0
3,1761788986.2304366,0.0,0.0,-0.4787641694870195,-0.0,0.0,0.0,0.101,1.0,-0.0,-0.0,-0.0
4,1761788986.2380228,0.0,0.0,-0.5938595660723345,-0.0,0.0,0.0,0.103,1.0,0.0,-0.0,-0.0
5,1761788986.246065,0.0,0.0,-0.6005391041972195,-0.0,0.0,0.0,0.106,1.0,0.0,-0.0,-0.0
6,1761788986.2549229,0.0,0.0,-0.5808307371562644,-0.0,0.0,0.0,0.108,1.0,0.0,-0.0,-0.0
7,1761788986.262866,0.0,0.0,-0.6693679917050066,-0.0,0.0,0.0,0.111,1.0,0.0,-0.0,-0.0
8,1761788986.270824,0.0,0.0,-0.5887997034311834,-0.0,0.0,0.0,0.113,1.0,0.0,-0.0,-0.0
9,1761788986.2799299,0.0,0.0,-0.4970814068451812,-0.0,0.0,0.0,0.115,1.0,0.0,-0.0,-0.0
10,1761788986.2883453,0.0,0.0,-0.6464071485497417,-0.0,0.0,0.0,0.118,1.0,0.0,-0.0,-0.0
11,1761788986.2966042,0.0,0.0,-0.6868827618227982,-0.0,0.0,0.0,0.12,1.0,0.0,-0.0,-0.0
12,1761788986.3051038,0.0,0.0,-0.5917619716455464,-0.0,0.0,0.0,0.121,1.0,0.0,-0.0,-0.0
13,1761788986.3136368,0.0,0.0,-0.526834006254499,-0.0,0.0,0.0,0.124,1.0,0.0,-0.0,-0.0
14,1761788986.3214054,0.0,0.0,-0.601693637233571,-0.0,0.0,0.0,0.126,1.0,0.0,-0.0,-0.0
15,1761788986.329203,0.0,0.0,-0.5603719675216338,-0.0,0.0,0.0,0.128,1.0,0.0,-0.0,-0.0
16,1761788986.3374286,0.0,0.0,-0.5674718607018713,-0.0,0.0,0.0,0.131,1.0,0.0,-0.0,-0.0
17,1761788986.3469067,0.0,0.0,-0.5096926304187266,-0.0,0.0,0.0,0.132,1.0,0.0,-0.0,-0.0
18,1761788986.3543715,0.0,0.0,-0.48903469934777966,-0.0,0.0,0.0,0.135,1.0,-0.0,0.0,-0.0
19,1761788986.3646293,0.0,0.0,-0.5055151254348896,-0.0,0.0,0.0,0.136,1.0,-0.0,0.0,-0.0
20,1761788986.371785,0.0,0.0,-0.5262020964782235,-0.0,0.0,0.0,0.137,1.0,-0.0,0.0,-0.0
21,1761788986.3795354,0.0,0.0,-0.5477054054155012,-0.0,0.0,0.0,0.139,1.0,-0.0,0.0,-0.0
22,1761788986.387912,0.0,0.0,-0.728024396321177,-0.0,0.0,0.0,0.142,1.0,-0.0,0.0,-0.0
23,1761788986.3961132,0.0,0.0,-0.584863215310655,-0.0,0.0,0.0,0.146,1.0,-0.0,0.0,-0.0
24,1761788986.404313,0.0,0.0,-0.7887330840050344,-0.0,0.0,0.0,0.15,1.0,-0.0,0.0,-0.0
25,1761788986.412877,0.0,0.0,-0.7495417478257624,-0.0,0.0,0.0,0.154,1.0,-0.0,0.0,-0.0
26,1761788986.4208713,0.0,0.0,-0.6486782458864693,-0.0,0.0,0.0,0.157,1.0,-0.0,0.0,-0.0
27,1761788986.4296236,0.0,0.0,-0.561457307374944,-0.0,0.0,0.0,0.159,1.0,-0.0,0.0,-0.0
28,1761788986.4382224,0.0,0.0,-0.5849242233866345,-0.0,0.0,0.0,0.16,1.0,-0.0,0.0,-0.0
29,1761788986.445911,0.0,0.0,-0.5777540307980584,-0.0,0.0,0.0,0.162,1.0,-0.0,0.0,-0.0
30,1761788986.454154,0.0,0.0,-0.5906103723737506,-0.0,0.0,0.0,0.165,1.0,-0.0,0.0,-0.0
31,1761788986.4631364,0.0,0.0,-0.5515335254844569,-0.0,0.0,0.0,0.168,1.0,-0.0,0.0,-0.0
32,1761788986.4707186,0.0,0.0,-0.6106332798143546,-0.0,0.0,0.0,0.17,1.0,-0.0,0.0,-0.0
33,1761788986.4794352,0.0,0.0,-0.6282035886191277,-0.0,0.0,0.0,0.172,1.0,-0.0,0.0,-0.0
34,1761788986.4875765,0.0,0.0,-0.6381421042820088,-0.0,0.0,0.0,0.174,1.0,-0.0,0.0,-0.0
35,1761788986.4959283,0.0,0.0,-0.5743214322801888,-0.0,0.0,0.0,0.177,1.0,-0.0,0.0,-0.0
36,1761788986.5039353,0.0,0.0,-0.5863156042996903,-0.0,0.0,0.0,0.179,1.0,-0.0,0.0,-0.0
37,1761788986.5129137,0.0,0.0,-0.5970346012733743,-0.0,0.0,0.0,0.18,1.0,-0.0,0.0,-0.0
38,1761788986.5213232,0.0,0.0,-0.5075553222889646,-0.0,0.0,0.0,0.181,1.0,-0.0,0.0,-0.0
39,1761788986.5292575,0.0,0.0,-1.0,-0.0,0.0,0.0,0.185,1.0,-0.0,0.0,-0.0
40,1761788986.5378737,0.0,0.0,-0.5574229836120657,-0.0,0.0,0.0,0.186,1.0,-0.0,0.0,-0.0
41,1761788986.5470467,0.0,0.0,-0.5044610115083477,-0.0,0.0,0.0,0.187,1.0,-0.0,0.0,-0.0
42,1761788986.5549045,0.0,0.0,-0.5363528022359314,-0.0,0.0,0.0,0.188,1.0,-0.0,0.0,-0.0
43,1761788986.5637639,0.0,0.0,-0.5318449819453606,-0.0,0.0,0.0,0.19,1.0,-0.0,0.0,-0.0
44,1761788986.5728683,0.0,0.0,-0.5419576596361144,-0.0,0.0,0.0,0.19,1.0,-0.0,0.0,-0.0
45,1761788986.5814779,0.0,0.0,-0.5121734225148051,-0.0,0.0,0.0,0.192,1.0,-0.0,0.0,-0.0
46,1761788986.5887709,0.0,0.0,-0.5677044185134644,-0.0,0.0,0.0,0.194,1.0,-0.0,0.0,-0.0
47,1761788986.596684,0.0,0.0,-0.5576934742560824,-0.0,0.0,0.0,0.196,1.0,-0.0,0.0,-0.0
48,1761788986.604125,0.0,0.0,-0.6453690017591128,-0.0,0.0,0.0,0.2,1.0,-0.0,0.0,-0.0
49,1761788986.6126392,0.0,0.0,-0.6085709272482464,-0.0,0.0,0.0,0.203,1.0,-0.0,0.0,-0.0
50,1761788986.621133,0.0,0.0,-0.5489199195393829,-0.0,0.0,0.0,0.205,1.0,-0.0,0.0,-0.0
51,1761788986.6294084,0.0,0.0,-0.8655190585703326,-0.0,0.0,0.0,0.207,1.0,-0.0,0.0,-0.0
52,1761788986.637524,0.0,0.0,-0.5619582640395647,-0.0,0.0,0.0,0.21,1.0,-0.0,0.0,-0.0
53,1761788986.6461477,0.0,0.0,-0.5331419395135344,-0.0,0.0,0.0,0.211,1.0,-0.0,0.0,-0.0
54,1761788986.6542532,0.0,0.0,-0.5312678856347519,-0.0,0.0,0.0,0.213,1.0,-0.0,0.0,-0.0
55,1761788986.6634037,0.0,0.0,-0.5558045692112885,-0.0,0.0,0.0,0.215,1.0,-0.0,0.0,-0.0
56,1761788986.6715848,0.0,0.0,-0.5911366527721904,-0.0,0.0,0.0,0.217,1.0,-0.0,0.0,-0.0
57,1761788986.67989,0.0,0.0,-0.5445565975788923,-0.0,0.0,0.0,0.219,1.0,-0.0,0.0,-0.0
58,1761788986.6877337,0.0,0.0,-0.527774171887816,-0.0,0.0,0.0,0.221,1.0,-0.0,0.0,-0.0
59,1761788986.6968284,0.0,0.0,-0.5468229113366818,-0.0,0.0,0.0,0.223,1.0,-0.0,0.0,-0.0
60,1761788986.7040582,0.0,0.0,-0.5590903902886155,-0.0,0.0,0.0,0.225,1.0,-0.0,0.0,-0.0
61,1761788986.7125416,0.0,0.0,-0.5477087212436886,-0.0,0.0,0.0,0.227,1.0,-0.0,0.0,-0.0
62,1761788986.7207873,0.0,0.0,-0.6494565504474293,-0.0,0.0,0.0,0.23,1.0,-0.0,0.0,-0.0
63,1761788986.7291522,0.0,0.0,-0.6272424090582117,-0.0,0.0,0.0,0.232,1.0,-0.0,0.0,-0.0
64,1761788986.7373435,0.0,0.0,-0.6607349529367963,-0.0,0.0,0.0,0.235,1.0,-0.0,0.0,-0.0
65,1761788986.7457316,0.0,0.0,-0.5691494716517038,-0.0,0.0,0.0,0.237,1.0,-0.0,0.0,-0.0
66,1761788986.7539647,0.0,0.0,-0.5530498065942425,-0.0,0.0,0.0,0.239,1.0,-0.0,0.0,-0.0
67,1761788986.7624235,0.0,0.0,-0.5885358601641335,-0.0,0.0,0.0,0.242,1.0,-0.0,0.0,-0.0
68,1761788986.7709575,0.0,0.0,-0.5625877986451947,-0.0,0.0,0.0,0.243,1.0,-0.0,0.0,-0.0
69,1761788986.7795506,0.0,0.0,-0.610801552254657,-0.0,0.0,0.0,0.246,1.0,-0.0,0.0,-0.0
70,1761788986.7872212,0.0,0.0,-0.5785649694602846,-0.0,0.0,0.0,0.248,1.0,-0.0,0.0,-0.0
71,1761788986.7966032,0.0,0.0,-0.551723703632039,-0.0,0.0,0.0,0.25,1.0,-0.0,0.0,-0.0
72,1761788986.804777,0.0,0.0,-0.5489009160159197,-0.0,0.0,0.0,0.25,1.0,-0.0,0.0,-0.0
73,1761788986.8127215,0.0,0.0,-0.5229920555324323,-0.0,0.0,0.0,0.251,1.0,-0.0,0.0,-0.0
74,1761788986.8209987,0.0,0.0,-0.8035062058909886,-0.0,0.0,0.0,0.256,1.0,-0.0,0.0,-0.0
75,1761788986.829562,0.0,0.0,-0.5236785142697228,-0.0,0.0,0.0,0.258,1.0,-0.0,0.0,-0.0
76,1761788986.837998,0.0,0.0,-0.6994328201842579,-0.0,0.0,0.0,0.26,1.0,-0.0,0.0,-0.0
77,1761788986.846311,0.0,0.0,-0.6263243956257689,-0.0,0.0,0.0,0.262,1.0,-0.0,0.0,-0.0
78,1761788986.8542352,0.0,0.0,-0.6052720178248969,-0.0,0.0,0.0,0.265,1.0,-0.0,0.0,-0.0
79,1761788986.8632956,0.0,0.0,-0.5941472101120149,-0.0,0.0,0.0,0.266,1.0,-0.0,0.0,-0.0
80,1761788986.8716063,0.0,0.0,-0.5469938238821828,-0.0,0.0,0.0,0.269,1.0,-0.0,0.0,-0.0
81,1761788986.8793168,0.0,0.0,-0.5441798630034609,-0.0,0.0,0.0,0.269,1.0,-0.0,0.0,-0.0
82,1761788986.8873136,0.0,0.0,-0.5577173032458416,-0.0,0.0,0.0,0.273,1.0,-0.0,0.0,-0.0
83,1761788986.8970768,0.0,0.0,-0.47298682116439483,-0.0,0.0,0.0,0.274,1.0,-0.0,0.0,-0.0
84,1761788986.9143038,0.0,0.0,-0.5104774099985674,-0.0,0.0,0.0,0.276,1.0,-0.0,0.0,-0.0
85,1761788986.9285743,0.0,0.0,-0.5534248992096836,-0.0,0.0,0.0,0.28,1.0,-0.0,0.0,-0.0
86,1761788986.937757,0.0,0.0,-0.5879053516531039,-0.0,0.0,0.0,0.283,1.0,-0.0,0.0,-0.0
87,1761788986.9465086,0.0,0.0,-0.6915592229720544,-0.0,0.0,0.0,0.287,1.0,-0.0,0.0,-0.0
88,1761788986.9550054,0.0,0.0,-0.6223226521544645,-0.0,0.0,0.0,0.288,1.0,-0.0,0.0,-0.0
