step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761009714.3455942,0.0,0.0,-0.4547980749136967,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
1,1761009714.3543308,0.0,0.0,-0.45273005886522566,-0.0,-0.0,0.0,0.1,1.0,-0.0,-0.0,-0.0
2,1761009714.3621032,0.0,0.0,-0.4605131115294162,-0.0,-0.0,-0.0,0.1,1.0,0.0,-0.0,0.0
3,1761009714.3699238,0.0,0.0,-0.47486354333538106,-0.0,-0.0,-0.0,0.1,1.0,-0.0,0.0,-0.0
4,1761009714.378407,0.0,0.0,-0.4744428448883051,-0.0,-0.0,-0.0,0.101,1.0,-0.0,0.0,-0.0
5,1761009714.3872125,0.0,0.0,-0.4901067525226248,-0.0,-0.0,-0.0,0.101,1.0,-0.0,0.0,-0.0
6,1761009714.3952239,0.0,0.0,-0.6436965677661095,-0.0,-0.0,-0.0,0.103,1.0,-0.0,0.0,-0.0
7,1761009714.403091,0.0,0.0,-0.7050092332517128,-0.0,-0.0,-0.0,0.104,1.0,-0.0,0.0,-0.0
8,1761009714.4110236,0.0,0.0,-0.6050982136227065,-0.0,0.0,0.0,0.106,1.0,-0.0,0.0,-0.0
9,1761009714.4195487,0.0,0.0,-0.5055100901348373,-0.0,0.0,0.0,0.107,1.0,-0.0,0.0,-0.0
10,1761009714.4281585,0.0,0.0,-0.4722524959788895,-0.0,0.0,0.0,0.108,1.0,-0.0,0.0,-0.0
11,1761009714.4366868,0.0,0.0,-0.4714979557587732,-0.0,0.0,0.0,0.108,1.0,-0.0,0.0,-0.0
12,1761009714.4451709,0.0,0.0,-0.4861822293377782,-0.0,0.0,0.0,0.109,1.0,-0.0,0.0,-0.0
13,1761009714.4528973,0.0,0.0,-0.5974069763008667,-0.0,0.0,0.0,0.11,1.0,-0.0,0.0,-0.0
14,1761009714.4610372,0.0,0.0,-0.6570832698169778,-0.0,0.0,0.0,0.112,1.0,-0.0,0.0,-0.0
15,1761009714.470456,0.0,0.0,-0.5085626989069383,-0.0,0.0,0.0,0.112,1.0,-0.0,0.0,-0.0
16,1761009714.4792643,0.0,0.0,-0.48909660094871654,-0.0,0.0,0.0,0.113,1.0,-0.0,0.0,-0.0
17,1761009714.4867008,0.0,0.0,-0.478824833788979,-0.0,0.0,0.0,0.114,1.0,-0.0,0.0,-0.0
18,1761009714.4949408,0.0,0.0,-0.48759846614038704,-0.0,0.0,0.0,0.115,1.0,-0.0,0.0,-0.0
19,1761009714.5028691,0.0,0.0,-0.5397168008275062,-0.0,0.0,0.0,0.116,1.0,-0.0,0.0,-0.0
20,1761009714.5111647,0.0,0.0,-0.5205845446423246,-0.0,0.0,0.0,0.118,1.0,-0.0,0.0,-0.0
21,1761009714.5193563,0.0,0.0,-0.5388754039333542,-0.0,0.0,0.0,0.118,1.0,-0.0,0.0,-0.0
22,1761009714.5278642,0.0,0.0,-0.48066176903866364,-0.0,0.0,0.0,0.119,1.0,-0.0,0.0,-0.0
23,1761009714.536688,0.0,0.0,-0.5272033042712259,-0.0,0.0,0.0,0.121,1.0,-0.0,0.0,-0.0
24,1761009714.5459702,0.0,0.0,-0.5106870541108512,-0.0,0.0,0.0,0.121,1.0,-0.0,0.0,-0.0
25,1761009714.553278,0.0,0.0,-0.5546016376867038,-0.0,0.0,0.0,0.123,1.0,-0.0,0.0,-0.0
26,1761009714.5617843,0.0,0.0,-0.5554944150679828,-0.0,0.0,0.0,0.124,1.0,-0.0,0.0,-0.0
27,1761009714.569304,0.0,0.0,-0.6834714516585474,-0.0,0.0,0.0,0.126,1.0,-0.0,0.0,-0.0
28,1761009714.5789173,0.0,0.0,-0.5497439022653544,-0.0,0.0,0.0,0.129,1.0,-0.0,0.0,-0.0
29,1761009714.5859528,0.0,0.0,-0.5424329285353668,-0.0,0.0,0.0,0.131,1.0,-0.0,0.0,-0.0
30,1761009714.5943906,0.0,0.0,-0.5439824438308232,-0.0,0.0,0.0,0.132,1.0,-0.0,0.0,-0.0
31,1761009714.6026864,0.0,0.0,-0.5685177861224899,-0.0,0.0,0.0,0.133,1.0,-0.0,0.0,-0.0
