step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761787317.798943,-0.3355696201324463,-0.538089394569397,-1.0680046081542969,0.453637957572937,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
1,1761787317.8023014,0.04147510603070259,-0.21896709501743317,-0.7361836433410645,0.3235324025154114,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
2,1761787317.8060603,-0.15324877202510834,-0.31944891810417175,-0.7579748630523682,0.4387992322444916,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
3,1761787317.8277938,-0.017269905656576157,-0.16983245313167572,-0.7866485118865967,0.3583281934261322,-0.0,-0.0,0.1,1.0,-0.001,0.0,-0.002
4,1761787317.8471663,-0.04166635870933533,-0.12923793494701385,-0.7620753049850464,0.37383994460105896,-0.0,-0.001,0.1,1.0,-0.001,0.0,-0.007
5,1761787317.8676558,-0.3546336889266968,-0.2340616136789322,-0.7825609445571899,0.478600412607193,-0.0,-0.001,0.1,1.0,0.0,-0.0,-0.008
6,1761787317.8895264,0.18917103111743927,-0.2442312389612198,-0.7780280113220215,0.329367071390152,-0.0,-0.001,0.1,1.0,0.001,-0.0,-0.01
7,1761787317.9069874,0.18129681050777435,-0.18032681941986084,-0.6966800689697266,0.43158259987831116,-0.0,-0.001,0.1,1.0,-0.001,0.0,-0.019
8,1761787317.9259062,0.11499856412410736,-0.2774048447608948,-0.7387807369232178,0.37441158294677734,-0.0,-0.002,0.1,1.0,-0.0,-0.0,-0.02
9,1761787317.9482968,0.09499205648899078,-0.2303674966096878,-0.7122260332107544,0.4418847858905792,-0.0,-0.002,0.1,1.0,0.0,-0.0,-0.023
10,1761787317.968652,0.13194523751735687,-0.22057008743286133,-0.7348024249076843,0.4067220091819763,-0.0,-0.002,0.1,1.0,-0.0,0.0,-0.026
11,1761787317.9877512,0.1745404154062271,-0.2185339480638504,-0.7148445248603821,0.4126449227333069,-0.0,-0.003,0.1,1.0,-0.0,-0.0,-0.029
12,1761787318.0087075,0.210075244307518,-0.2109227478504181,-0.7175081968307495,0.4071556031703949,-0.0,-0.003,0.1,0.999,-0.0,0.0,-0.033
13,1761787318.0289943,0.22491563856601715,-0.21375566720962524,-0.7144957184791565,0.3967902362346649,-0.0,-0.003,0.1,0.999,-0.0,0.0,-0.036
14,1761787318.0474267,0.25398048758506775,-0.2064879983663559,-0.7107861042022705,0.4041893780231476,0.0,-0.004,0.1,0.999,0.0,0.0,-0.04
15,1761787318.0700417,0.2828228771686554,-0.21336869895458221,-0.7076756954193115,0.4116462767124176,0.0,-0.004,0.1,0.999,0.0,-0.0,-0.043
16,1761787318.088238,0.30985599756240845,-0.2108682245016098,-0.7038682699203491,0.40610411763191223,0.0,-0.005,0.1,0.999,0.0,0.0,-0.046
17,1761787318.1118388,0.2902527153491974,-0.20589402318000793,-0.712279200553894,0.3984546959400177,0.001,-0.005,0.1,0.999,0.0,-0.0,-0.051
18,1761787318.1288207,0.2182513028383255,-0.18241415917873383,-0.737489640712738,0.3837845027446747,0.001,-0.006,0.1,0.998,0.001,-0.0,-0.055
19,1761787318.1479483,0.31566309928894043,-0.20699460804462433,-0.7220325469970703,0.40968015789985657,0.001,-0.007,0.1,0.998,0.003,-0.0,-0.058
20,1761787318.1674998,0.33750003576278687,-0.2112557291984558,-0.7094326615333557,0.39806094765663147,0.001,-0.007,0.1,0.998,0.003,-0.0,-0.06
21,1761787318.1889894,0.34789106249809265,-0.2178569883108139,-0.7103400230407715,0.41841575503349304,0.001,-0.008,0.1,0.998,0.004,-0.0,-0.063
22,1761787318.209089,0.30676841735839844,-0.2050754874944687,-0.7310320734977722,0.3761625587940216,0.001,-0.008,0.1,0.998,0.005,-0.0,-0.066
23,1761787318.2281156,0.3598474860191345,-0.2197721153497696,-0.7190400958061218,0.41063764691352844,0.001,-0.009,0.1,0.998,0.006,-0.0,-0.07
24,1761787318.248624,0.30833014845848083,-0.18092894554138184,-0.7394275069236755,0.37535232305526733,0.001,-0.01,0.1,0.997,0.008,-0.001,-0.073
25,1761787318.267421,0.32697832584381104,-0.18697614967823029,-0.7318399548530579,0.4042761027812958,0.001,-0.01,0.1,0.997,0.01,-0.001,-0.075
26,1761787318.2869,0.3641873002052307,-0.20604068040847778,-0.7357102036476135,0.3902505040168762,0.001,-0.011,0.101,0.997,0.011,-0.001,-0.078
27,1761787318.3069618,0.3597545623779297,-0.21935562789440155,-0.7277268171310425,0.397668719291687,0.001,-0.012,0.101,0.997,0.013,-0.001,-0.08
