step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1761787577.6667259,-0.24721424281597137,0.2666872441768646,-0.9186269044876099,-0.008497150614857674,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
1,1761787577.6769247,-0.0534244105219841,0.021248487755656242,-0.9051127433776855,0.003970760852098465,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
2,1761787577.6865253,-0.08717245608568192,0.03848671913146973,-0.8901333808898926,-0.05016401410102844,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
3,1761787577.6952024,-0.08252111822366714,0.05245479941368103,-0.8927738666534424,-0.04063250496983528,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
4,1761787577.7062056,-0.07959935069084167,0.050598494708538055,-0.8888574838638306,-0.04018906503915787,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
5,1761787577.7160366,-0.07755770534276962,0.052505865693092346,-0.8831570148468018,-0.04220166802406311,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
6,1761787577.7252054,-0.07675967365503311,0.05564611405134201,-0.8801262974739075,-0.042461518198251724,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
7,1761787577.7358947,-0.07408224791288376,0.05739425867795944,-0.8746994733810425,-0.04347493499517441,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
8,1761787577.745484,-0.07320058345794678,0.06007743626832962,-0.8713876008987427,-0.044112540781497955,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
9,1761787577.7555265,-0.07069450616836548,0.06246848404407501,-0.8660926818847656,-0.04490635544061661,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
10,1761787577.764815,-0.06965962797403336,0.06516724824905396,-0.8627887964248657,-0.045273277908563614,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
11,1761787577.774618,-0.0669163390994072,0.06703680008649826,-0.8572268486022949,-0.046216513961553574,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
12,1761787577.7850783,-0.06618829816579819,0.0702824592590332,-0.853988766670227,-0.04650656133890152,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
13,1761787577.793256,-0.06338981539011002,0.07242513447999954,-0.848490834236145,-0.04726443812251091,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
14,1761787577.8032367,-0.06267727166414261,0.07553829997777939,-0.845077633857727,-0.047660503536462784,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
15,1761787577.8142517,-0.0597153976559639,0.07767819613218307,-0.8395434021949768,-0.0481245331466198,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
16,1761787577.8242722,-0.05876300483942032,0.0804603323340416,-0.8360207080841064,-0.048539865761995316,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
17,1761787577.8329892,-0.05619094520807266,0.0831090584397316,-0.8303608298301697,-0.04938733950257301,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
18,1761787577.8440557,-0.055428192019462585,0.08639995753765106,-0.826945960521698,-0.049461860209703445,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
19,1761787577.8546243,-0.0525984913110733,0.08852948248386383,-0.8211015462875366,-0.05023818835616112,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
20,1761787577.8652728,-0.051711976528167725,0.0920146256685257,-0.817730724811554,-0.0500909797847271,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
21,1761787577.8747308,-0.04888337105512619,0.09420749545097351,-0.8118102550506592,-0.05081701651215553,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
22,1761787577.8867373,-0.04814675450325012,0.09784939140081406,-0.8083626627922058,-0.05087864026427269,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
23,1761787577.8999486,-0.04553017020225525,0.10055863112211227,-0.802506148815155,-0.05122761055827141,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
24,1761787577.913508,-0.044464558362960815,0.10353609919548035,-0.798827052116394,-0.05120616778731346,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
25,1761787577.9265945,-0.042002953588962555,0.10638909786939621,-0.7928669452667236,-0.05176349729299545,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
26,1761787577.9387803,-0.0411965474486351,0.11005964130163193,-0.7892605066299438,-0.051703330129384995,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
27,1761787577.949621,-0.03861416131258011,0.11289552599191666,-0.7832375764846802,-0.051923442631959915,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
28,1761787577.9592736,-0.03781575709581375,0.1164325699210167,-0.7795156240463257,-0.051718104630708694,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
29,1761787577.9659898,-0.034989021718502045,0.11884894222021103,-0.7733248472213745,-0.05217953398823738,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
30,1761787577.973522,-0.03445360064506531,0.12298151105642319,-0.7697827816009521,-0.05180015787482262,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
31,1761787577.984993,-0.03148558735847473,0.12543030083179474,-0.7637253999710083,-0.05187756195664406,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
32,1761787577.993924,-0.03066297434270382,0.12911926209926605,-0.7601013779640198,-0.05174776166677475,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
33,1761787578.0035372,-0.02773214317858219,0.13187777996063232,-0.7540885806083679,-0.051605600863695145,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
34,1761787578.0146546,-0.026810521259903908,0.13561373949050903,-0.7505936026573181,-0.051101040095090866,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
35,1761787578.0237617,-0.023685665801167488,0.13780957460403442,-0.7444988489151001,-0.051106248050928116,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
36,1761787578.03382,-0.02294790931046009,0.14199037849903107,-0.7410744428634644,-0.0506623201072216,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
37,1761787578.0431604,-0.019708601757884026,0.14444907009601593,-0.7351931929588318,-0.05034914240241051,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
38,1761787578.0530186,-0.01870555430650711,0.14797134697437286,-0.7316160202026367,-0.050077877938747406,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
39,1761787578.0631797,-0.015392009168863297,0.15044879913330078,-0.7257962822914124,-0.0496310330927372,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
40,1761787578.0734897,-0.014394627884030342,0.15439902245998383,-0.72251957654953,-0.04906401038169861,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
41,1761787578.086203,-0.011047104373574257,0.15665216743946075,-0.7166198492050171,-0.048649948090314865,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
42,1761787578.095119,-0.009897375479340553,0.1605214923620224,-0.7133481502532959,-0.04771168529987335,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
43,1761787578.1030731,-0.0067201294004917145,0.16324718296527863,-0.7075767517089844,-0.0470530167222023,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
44,1761787578.1138365,-0.0053412895649671555,0.1664077490568161,-0.7040974497795105,-0.04655515402555466,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
45,1761787578.1232069,-0.0021844282746315002,0.16952379047870636,-0.6985955238342285,-0.04583186283707619,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
46,1761787578.1365938,-0.0007806736975908279,0.1727929264307022,-0.6952348351478577,-0.04473769664764404,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
47,1761787578.1505504,0.0024667028337717056,0.1755082607269287,-0.6895263195037842,-0.04405843839049339,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
48,1761787578.1624568,0.003893742337822914,0.17877213656902313,-0.6861663460731506,-0.04312076047062874,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
49,1761787578.1724718,0.0070788804441690445,0.18168935179710388,-0.6806188225746155,-0.042312610894441605,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
50,1761787578.1807477,0.008523175492882729,0.1849929392337799,-0.6772902607917786,-0.04128444567322731,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
51,1761787578.1896489,0.011730024591088295,0.18794992566108704,-0.6717821955680847,-0.040347423404455185,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
52,1761787578.1962192,0.013188527897000313,0.19129817187786102,-0.6684792041778564,-0.03923233598470688,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
53,1761787578.2038527,0.016494018957018852,0.19411931931972504,-0.6628747582435608,-0.038166601210832596,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
54,1761787578.2132785,0.0179606806486845,0.19751489162445068,-0.6595894694328308,-0.03696702420711517,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
55,1761787578.2226388,0.0213943999260664,0.2001248598098755,-0.6541059017181396,-0.03568178415298462,0.0,-0.0,0.1,1.0,0.0,0.0,0.0
56,1761787578.233722,0.022672465071082115,0.20390719175338745,-0.6509324908256531,-0.03454538807272911,-0.0,0.0,0.1,1.0,-0.0,-0.0,0.0
57,1761787578.2438648,0.02612156979739666,0.20642925798892975,-0.6455451846122742,-0.03320396691560745,-0.0,0.0,0.1,1.0,-0.0,-0.0,0.0
