step,timestamp,u0,u1,u2,u3,pose_x,pose_y,pose_z,pose_qw,pose_qx,pose_qy,pose_qz
0,1762385146.5580983,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.5599205,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.5672073,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.5773132,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.5869546,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.59761,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.6071777,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.6170855,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.6286063,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.6369326,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.6476793,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.6570623,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.6672945,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.6771877,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.686803,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.6970792,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.7071369,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.7170644,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.7271144,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.736804,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.747107,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.757495,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.7674928,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.7773662,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.7874794,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.7976818,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.807349,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.8177266,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.8279285,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.8374352,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
0,1762385146.8473244,0.0,0.0,-1.0,0.0,0.012,0.141,0.025,0.706,-0.706,0.041,-0.041
